P-value,Liczba,Test,n
0.164103506825787,Pi,monobit,1000
0.9495709711511051,Pi,monobit,1000
0.18412637278497979,Pi,monobit,1000
0.22949314873258375,Pi,monobit,1000
0.3759205825480747,Pi,monobit,1000
0.569213649473711,Pi,monobit,1000
0.5270892568655381,Pi,monobit,1000
0.4866160457640505,Pi,monobit,1000
0.25494516431732106,Pi,monobit,1000
0.04298479507085862,Pi,monobit,1000
0.9495709711511051,Pi,monobit,1000
0.7518296340458492,Pi,monobit,1000
0.569213649473711,Pi,monobit,1000
0.410967522088336,Pi,monobit,1000
0.3759205825480747,Pi,monobit,1000
0.8993431885613663,Pi,monobit,1000
0.011412036386001745,Pi,monobit,1000
0.14576681181311235,Pi,monobit,1000
0.06663602844578964,Pi,monobit,1000
0.34278171114791145,Pi,monobit,1000
0.10009682885123228,Pi,monobit,1000
0.8495154923650348,Pi,monobit,1000
0.0877050299820239,Pi,monobit,1000
0.4866160457640505,Pi,monobit,1000
0.8002819583293617,Pi,monobit,1000
0.44788447826411204,Pi,monobit,1000
0.4866160457640505,Pi,monobit,1000
0.1290413050994681,Pi,monobit,1000
0.569213649473711,Pi,monobit,1000
0.410967522088336,Pi,monobit,1000
0.410967522088336,Pi,monobit,1000
0.164103506825787,Pi,monobit,1000
0.14576681181311235,Pi,monobit,1000
0.9495709711511051,Pi,monobit,1000
0.569213649473711,Pi,monobit,1000
0.6579690900638204,Pi,monobit,1000
0.6128816234132364,Pi,monobit,1000
0.8002819583293617,Pi,monobit,1000
0.164103506825787,Pi,monobit,1000
0.8495154923650348,Pi,monobit,1000
0.34278171114791145,Pi,monobit,1000
1.0,Pi,monobit,1000
0.8002819583293617,Pi,monobit,1000
0.7043364134884518,Pi,monobit,1000
1.0,Pi,monobit,1000
0.7043364134884518,Pi,monobit,1000
0.8002819583293617,Pi,monobit,1000
0.4866160457640505,Pi,monobit,1000
0.164103506825787,Pi,monobit,1000
0.14576681181311235,Pi,monobit,1000
0.9495709711511051,Pi,monobit,1000
0.8002819583293617,Pi,monobit,1000
0.2059032107320684,Pi,monobit,1000
0.07658140903567001,Pi,monobit,1000
0.06663602844578964,Pi,monobit,1000
0.7518296340458492,Pi,monobit,1000
0.34278171114791145,Pi,monobit,1000
0.4866160457640505,Pi,monobit,1000
0.14576681181311235,Pi,monobit,1000
0.3759205825480747,Pi,monobit,1000
0.18412637278497979,Pi,monobit,1000
0.0877050299820239,Pi,monobit,1000
